year,period,year_month,source_file,department,is_hospital_total,n_inpatients,patient_days,n_infected_patients,n_infection_episodes,incidence_pct,episode_incidence_pct,incidence_per_1000_pd,episode_incidence_per_1000_pd,n_underreported,underreport_pct,site_aad,site_ascites,site_bsi_non_catheter,site_burn,site_cauti,site_clabsi,site_clabsi_episodes,site_cns_other,site_genital_other,site_gi,site_infectious_diarrhoea,site_intraabdominal,site_intracranial_abscess,site_lower_resp,site_meningitis_ventriculitis,site_myocarditis_pericarditis,site_oral_fungal,site_oral_fungal_episodes,site_osteomyelitis,site_other,site_perineal_incision,site_septicaemia,site_skin,site_soft_tissue,site_spinal_canal,site_ssi_deep,site_ssi_deep_episodes,site_ssi_organ_space,site_ssi_organ_space_episodes,site_ssi_superficial,site_upper_resp,site_uti,site_vaginal_cuff,site_vap,site_vascular_related
2023,3,2023-03,2023-03,Neurology Ward 2,0,267,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Neurosurgery Ward,0,166,,4,5,2.41,3.01,,,0.0,0.0,,,1,,0,,,,,,0.0,0.0,,3,0.0,,,,,0.0,,1.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Geriatrics Ward,0,64,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,ENT Ward,0,234,,1,1,0.43,0.43,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,1.0,,,0.0,
2023,3,2023-03,2023-03,Hepatobiliary Surgery Ward,0,144,,1,1,0.69,0.69,,,0.0,0.0,,,0,,0,,,,,,0.0,1.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Nephrology Ward,0,137,,2,2,1.46,1.46,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,2,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Oncology Ward 1,0,312,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Oncology Ward 2,0,106,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Cardiothoracic Surgery Ward,0,129,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Haematology Ward,0,129,,7,9,5.43,6.98,,,1.0,11.1111111111111,,,2,,0,,,,,,1.0,1.0,,2,0.0,,,,,3.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Intensive Care Unit,0,108,,2,3,1.85,2.78,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,1.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,2.0,
2023,3,2023-03,2023-03,Orthopaedics Ward 1,0,235,,1,1,0.43,0.43,,,0.0,0.0,,,0,,1,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Orthopaedics Ward 3,0,44,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Orthopaedics Ward 2,0,235,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Orthopaedics Ward 3,0,4,,0,0,0.0,0.0,,,0.0,0.0,,,0,,0,,,,,,0.0,0.0,,0,0.0,,,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,
2023,3,2023-03,2023-03,Hospital-wide,1,6552,,26,32,0.4,0.49,,,2.0,6.25,,,3,,4,,,,,,1.0,3.0,,12,1.0,,,,,3.0,,1.0,,,,,,,,1.0,1.0,,,2.0,
2023,4,2023-04,2023-04,Coronary Care Unit,0,75,,0,0,0.0,0.0,,,0.0,0.0,,0.0,0,,0,,,,,0.0,0.0,,,0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,
2023,4,2023-04,2023-04,TCM Ward,0,94,,0,0,0.0,0.0,,,0.0,0.0,,0.0,0,,0,,,,,0.0,0.0,,,0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,
2023,4,2023-04,2023-04,TCM Anorectal Surgery Ward,0,152,,0,0,0.0,0.0,,,0.0,0.0,,0.0,0,,0,,,,,0.0,0.0,,,0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,
2023,4,2023-04,2023-04,Breast & Thyroid Surgery Ward,0,142,,0,0,0.0,0.0,,,0.0,0.0,,0.0,0,,0,,,,,0.0,0.0,,,0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,
2023,4,2023-04,2023-04,Obstetrics Ward,0,150,,0,0,0.0,0.0,,,0.0,0.0,,0.0,0,,0,,,,,0.0,0.0,,,0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,
2023,4,2023-04,2023-04,Paediatrics Ward,0,566,,0,0,0.0,0.0,,,0.0,0.0,,0.0,0,,0,,,,,0.0,0.0,,,0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,
2023,4,2023-04,2023-04,General Practice Ward,0,106,,0,0,0.0,0.0,,,0.0,0.0,,0.0,0,,0,,,,,0.0,0.0,,,0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,
2023,4,2023-04,2023-04,Endocrinology Ward,0,211,,0,0,0.0,0.0,,,0.0,0.0,,0.0,0,,0,,,,,0.0,0.0,,,0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,
2023,4,2023-04,2023-04,Respiratory & Critical Care Ward 1,0,292,,0,0,0.0,0.0,,,0.0,0.0,,0.0,0,,0,,,,,0.0,0.0,,,0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,
2023,4,2023-04,2023-04,Respiratory & Critical Care Ward 2,0,233,,0,0,0.0,0.0,,,0.0,0.0,,0.0,0,,0,,,,,0.0,0.0,,,0,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,
